,City,Operation,Time block,Delay
0,Bologna,Departure,6,-9.0
1,Florence,Departure,6,-2.0
2,Las Palmas,Departure,6,-8.0
3,Tangier,Departure,6,1.0
4,San Sebastian,Departure,6,3.0
5,Alicante,Departure,6,-7.0
6,Brussels,Departure,6,-1.0
7,Asturias,Departure,6,17.0
8,Sevilla,Departure,6,-7.0
9,Malaga,Departure,7,-5.0
10,Bilbao,Departure,7,3.0
11,Madrid,Departure,7,-6.0
12,Munich,Departure,7,0.0
13,Paris,Departure,7,3.0
14,Palma Mallorca,Departure,7,-5.0
15,Venice,Departure,7,1.0
16,Amsterdam,Departure,7,0.0
17,Ibiza,Departure,7,0.0
18,Lisbon,Departure,7,0.0
19,Zurich,Departure,7,3.0
20,Athens,Departure,7,4.0
21,Geneva,Departure,7,-3.0
22,London,Departure,7,-3.0
23,Menorca,Departure,7,4.0
24,Copenhagen,Departure,7,7.0
25,Rome,Departure,7,4.0
26,Nice,Departure,7,-11.0
27,Santander,Departure,7,7.0
28,Vigo,Departure,7,48.0
29,Granada,Departure,7,-1.0
30,Madrid,Departure,7,-2.0
31,London,Departure,7,0.0
32,Naples,Departure,7,7.0
33,Porto,Departure,7,34.0
34,Vienna,Departure,7,-7.0
35,Milan,Departure,7,-4.0
36,Prague,Departure,7,4.0
37,Paris,Departure,7,-4.0
38,Palma Mallorca,Departure,8,0.0
39,Tenerife,Departure,8,-2.0
40,Paris,Departure,8,-1.0
41,Madrid,Departure,8,-1.0
42,Palma Mallorca,Departure,8,-7.0
43,Alicante,Departure,8,96.0
44,Bilbao,Departure,8,-7.0
45,Malaga,Departure,9,-8.0
46,Menorca,Departure,9,-4.0
47,Sevilla,Departure,9,-3.0
48,Ibiza,Departure,9,-1.0
49,Santiago De Compostela,Departure,9,-9.0
50,Paris,Departure,9,-5.0
51,Palma Mallorca,Departure,9,-4.0
52,La Coruna,Departure,9,-6.0
53,Rome,Departure,9,-1.0
54,London,Departure,9,-7.0
55,Madrid,Departure,9,57.0
56,Bilbao,Departure,9,-12.0
57,Milan,Departure,10,4.0
58,Amsterdam,Departure,10,3.0
59,Lanzarote,Departure,10,0.0
60,Sevilla,Departure,10,2.0
61,Hanover,Departure,10,0.0
62,Almeria,Departure,10,-2.0
63,Granada,Departure,10,4.0
64,Puerto del Rosario,Departure,10,-1.0
65,Lyon,Departure,10,0.0
66,Paris,Departure,11,5.0
67,Menorca,Departure,11,3.0
68,Valladolid,Departure,11,88.0
69,Cagliari,Departure,11,64.0
70,Hamburg,Departure,11,6.0
71,Oran,Departure,11,4.0
72,Bilbao,Departure,11,2.0
73,Malta,Departure,11,3.0
74,Sevilla,Departure,11,0.0
75,Birmingham,Departure,11,-2.0
76,Berlin,Departure,11,14.0
77,Stockholm,Departure,11,14.0
78,Palma Mallorca,Departure,11,5.0
79,Malaga,Departure,12,15.0
80,Tenerife,Departure,12,-5.0
81,Las Palmas,Departure,12,3.0
82,Milan,Departure,12,-1.0
83,Nuremberg,Departure,12,0.0
84,Lisbon,Departure,12,27.0
85,Asturias,Departure,12,3.0
86,Catania,Departure,12,5.0
87,Palermo,Departure,12,2.0
88,Dublin,Departure,12,-1.0
89,London,Departure,12,6.0
90,Dusseldorf,Departure,12,10.0
91,Ibiza,Departure,12,3.0
92,Jerez De La Frontera,Departure,12,-1.0
93,Bilbao,Departure,13,-1.0
94,Ibiza,Departure,14,-9.0
95,Madrid,Departure,14,11.0
96,Venice,Departure,14,-3.0
97,Paris,Departure,14,7.0
98,Alicante,Departure,14,-5.0
99,Porto,Departure,14,0.0
100,Palma Mallorca,Departure,14,-1.0
101,Turin,Departure,14,0.0
102,Bologna,Departure,14,-7.0
103,Milan,Departure,14,8.0
104,Rome,Departure,15,2.0
105,Stuttgart,Departure,15,1.0
106,Bari,Departure,15,0.0
107,Malaga,Departure,15,0.0
108,Amsterdam,Departure,15,-2.0
109,La Coruna,Departure,15,-1.0
110,Bilbao,Departure,15,3.0
111,Marseille,Departure,15,-1.0
112,Vienna,Departure,15,12.0
113,Santander,Departure,16,-1.0
114,Paris,Departure,16,22.0
115,Geneva,Departure,16,4.0
116,Palma Mallorca,Departure,16,3.0
117,Madrid,Departure,16,1.0
118,Santiago De Compostela,Departure,16,-8.0
119,Sevilla,Departure,16,6.0
120,Valencia,Departure,16,2.0
121,San Sebastian,Departure,16,-2.0
122,Alicante,Departure,16,-6.0
123,Ibiza,Departure,16,7.0
124,Menorca,Departure,17,-3.0
125,Granada,Departure,17,2.0
126,Madrid,Departure,17,46.0
127,Palma Mallorca,Departure,17,0.0
128,London,Departure,17,-9.0
129,Las Palmas,Departure,17,-7.0
130,Bordeaux,Departure,17,-4.0
131,Manchester,Departure,17,12.0
132,Paris,Departure,17,-2.0
133,Bilbao,Departure,17,9.0
134,Munich,Departure,17,33.0
135,Tenerife,Departure,17,12.0
136,Florence,Departure,17,25.0
137,Zurich,Departure,18,-5.0
138,Sevilla,Departure,18,10.0
139,Alicante,Departure,18,-4.0
140,Palma Mallorca,Departure,18,-3.0
141,Prague,Departure,18,-1.0
142,Rome,Departure,18,11.0
143,Marrakech,Departure,18,3.0
144,Amsterdam,Departure,18,2.0
145,Brussels,Departure,18,0.0
146,Milan,Departure,18,12.0
147,London,Departure,18,-3.0
148,Vienna,Departure,18,24.0
149,Paris,Departure,18,24.0
150,Madrid,Departure,19,14.0
151,Lisbon,Departure,19,18.0
152,Venice,Departure,19,30.0
153,Vigo,Departure,19,-1.0
154,Paris,Departure,19,-2.0
155,Naples,Departure,19,20.0
156,Malaga,Departure,19,0.0
157,Alicante,Departure,19,-5.0
158,Bilbao,Departure,19,-1.0
159,Menorca,Departure,19,3.0
160,La Coruna,Departure,20,-1.0
161,Tenerife,Departure,20,-16.0
162,Milan,Departure,20,-1.0
163,Lisbon,Departure,20,-14.0
164,Paris,Departure,20,1.0
165,Palma Mallorca,Departure,20,2.0
166,Granada,Departure,20,-8.0
167,Ibiza,Departure,20,8.0
168,London,Departure,20,-3.0
169,Nantes,Departure,20,29.0
170,Las Palmas,Departure,20,1.0
171,Santiago De Compostela,Departure,21,2.0
172,Algiers,Departure,21,-8.0
173,Sevilla,Departure,21,0.0
174,Malaga,Departure,21,43.0
175,Bilbao,Departure,21,-4.0
176,Madrid,Departure,21,28.0
177,Asturias,Departure,22,-10.0
178,Palma Mallorca,Departure,22,-10.0
179,Tel Aviv-Yafo,Departure,23,7.0
180,Edinburgh,Arrival,0,9.0
181,Granada,Arrival,0,-4.0
182,Milan,Arrival,0,5.0
183,Sevilla,Arrival,0,-8.0
184,Lanzarote,Arrival,0,-4.0
185,Athens,Arrival,0,-7.0
186,Vienna,Arrival,0,0.0
187,Nantes,Arrival,0,-6.0
188,Las Palmas,Arrival,0,-9.0
189,London,Arrival,0,-9.0
190,Marrakech,Arrival,0,1384.0
191,Lisbon,Arrival,0,-27.0
192,Porto,Arrival,0,81.0
193,Berlin,Arrival,0,12.0
194,Tenerife,Arrival,1,-18.0
195,Algiers,Arrival,1,-28.0
196,Madrid,Arrival,7,-11.0
197,Palma Mallorca,Arrival,7,-11.0
198,Alicante,Arrival,8,104.0
199,Bilbao,Arrival,8,-23.0
200,Asturias,Arrival,8,-10.0
201,Malaga,Arrival,8,-10.0
202,Sevilla,Arrival,8,-4.0
203,Palma Mallorca,Arrival,8,-9.0
204,Santiago De Compostela,Arrival,8,-21.0
205,La Coruna,Arrival,8,-15.0
206,Paris,Arrival,8,-21.0
207,Rome,Arrival,8,-12.0
208,Madrid,Arrival,9,10.0
209,Bilbao,Arrival,9,-6.0
210,Amsterdam,Arrival,9,2.0
211,Palma Mallorca,Arrival,9,-8.0
212,Sevilla,Arrival,9,-11.0
213,Algiers,Arrival,9,-2.0
214,San Sebastian,Arrival,9,0.0
215,Ibiza,Arrival,9,-3.0
216,Menorca,Arrival,9,-13.0
217,Alicante,Arrival,9,-11.0
218,Tel Aviv-Yafo,Arrival,10,40.0
219,Bologna,Arrival,10,37.0
220,Madrid,Arrival,10,-2.0
221,Palma Mallorca,Arrival,10,-7.0
222,Asturias,Arrival,10,0.0
223,Florence,Arrival,10,1.0
224,Santander,Arrival,10,1.0
225,Nice,Arrival,10,6.0
226,Sevilla,Arrival,10,1.0
227,Madrid,Arrival,11,2.0
228,Malaga,Arrival,11,12.0
229,Granada,Arrival,11,3.0
230,Geneva,Arrival,11,8.0
231,Tangier,Arrival,11,5.0
232,Paris,Arrival,11,8.0
233,Las Palmas,Arrival,11,2.0
234,Tenerife,Arrival,11,2.0
235,Vigo,Arrival,11,56.0
236,Zurich,Arrival,11,21.0
237,Menorca,Arrival,11,13.0
238,Venice,Arrival,11,-9.0
239,Rome,Arrival,11,6.0
240,Milan,Arrival,11,5.0
241,Brussels,Arrival,11,-4.0
242,Ibiza,Arrival,11,-5.0
243,Lisbon,Arrival,11,-4.0
244,Porto,Arrival,11,33.0
245,Munich,Arrival,12,-6.0
246,Naples,Arrival,12,-8.0
247,Paris,Arrival,12,-9.0
248,London,Arrival,12,-14.0
249,Paris,Arrival,12,-8.0
250,Amsterdam,Arrival,12,-11.0
251,London,Arrival,12,-1.0
252,Madrid,Arrival,13,46.0
253,Vienna,Arrival,13,3.0
254,Alicante,Arrival,13,-2.0
255,Menorca,Arrival,13,-10.0
256,Prague,Arrival,13,2.0
257,Las Palmas,Arrival,13,-5.0
258,Almeria,Arrival,13,-4.0
259,Copenhagen,Arrival,13,-3.0
260,Granada,Arrival,13,-11.0
261,Milan,Arrival,14,-15.0
262,Athens,Arrival,14,5.0
263,Lyon,Arrival,14,-4.0
264,Palma Mallorca,Arrival,14,-1.0
265,Valladolid,Arrival,14,63.0
266,Bilbao,Arrival,14,4.0
267,London,Arrival,14,-13.0
268,Cagliari,Arrival,15,38.0
269,Vienna,Arrival,15,7.0
270,Ibiza,Arrival,15,20.0
271,Paris,Arrival,15,-7.0
272,Oran,Arrival,15,-7.0
273,Sevilla,Arrival,15,1.0
274,Tenerife,Arrival,15,-13.0
275,Santiago De Compostela,Arrival,15,-9.0
276,Hanover,Arrival,15,-11.0
277,Malaga,Arrival,16,15.0
278,Milan,Arrival,16,-11.0
279,Bilbao,Arrival,16,-20.0
280,Madrid,Arrival,16,45.0
281,Malta,Arrival,16,22.0
282,Ibiza,Arrival,16,-14.0
283,Palma Mallorca,Arrival,16,216.0
284,Birmingham,Arrival,16,-20.0
285,Bilbao,Arrival,16,-12.0
286,Lisbon,Arrival,16,23.0
287,Nuremberg,Arrival,16,5.0
288,Jerez De La Frontera,Arrival,16,3.0
289,Lanzarote,Arrival,17,-1.0
290,Palermo,Arrival,17,6.0
291,Hamburg,Arrival,17,13.0
292,Sevilla,Arrival,17,-10.0
293,Puerto del Rosario,Arrival,17,13.0
294,Berlin,Arrival,17,1.0
295,Catania,Arrival,17,-9.0
296,Dusseldorf,Arrival,17,-5.0
297,London,Arrival,17,126.0
298,Turin,Arrival,18,4.0
299,Madrid,Arrival,18,8.0
300,Paris,Arrival,18,8.0
301,Dublin,Arrival,18,-10.0
302,Porto,Arrival,18,-4.0
303,Palma Mallorca,Arrival,18,26.0
304,Venice,Arrival,18,-19.0
305,Bologna,Arrival,18,-3.0
306,Milan,Arrival,18,-1.0
307,Alicante,Arrival,18,-1.0
308,Bilbao,Arrival,18,-6.0
309,Valencia,Arrival,19,7.0
310,Santander,Arrival,19,-8.0
311,Malaga,Arrival,19,-10.0
312,Tenerife,Arrival,19,-11.0
313,Rome,Arrival,19,63.0
314,Menorca,Arrival,19,-3.0
315,Ibiza,Arrival,19,-6.0
316,Palma Mallorca,Arrival,19,3.0
317,San Sebastian,Arrival,19,-9.0
318,Madrid,Arrival,19,-6.0
319,Paris,Arrival,19,-1.0
320,Alicante,Arrival,19,-9.0
321,Stuttgart,Arrival,19,-7.0
322,Stockholm,Arrival,19,18.0
323,La Coruna,Arrival,19,-10.0
324,Geneva,Arrival,20,23.0
325,Bari,Arrival,20,29.0
326,Las Palmas,Arrival,20,-3.0
327,Sevilla,Arrival,20,23.0
328,Bordeaux,Arrival,20,-22.0
329,Paris,Arrival,20,25.0
330,Santiago De Compostela,Arrival,20,-2.0
331,Granada,Arrival,20,1.0
332,Palma Mallorca,Arrival,20,-14.0
333,Madrid,Arrival,20,38.0
334,Sevilla,Arrival,20,-11.0
335,Malaga,Arrival,21,29.0
336,Bilbao,Arrival,21,-18.0
337,Alicante,Arrival,21,-16.0
338,Asturias,Arrival,21,-14.0
339,Amsterdam,Arrival,21,30.0
340,Paris,Arrival,21,-10.0
341,Florence,Arrival,21,16.0
342,Palma Mallorca,Arrival,22,-17.0
343,Menorca,Arrival,22,-17.0
344,Zurich,Arrival,22,-16.0
345,London,Arrival,22,-22.0
346,Munich,Arrival,22,10.0
347,Palma Mallorca,Arrival,22,-18.0
348,Bilbao,Arrival,22,-20.0
349,Rome,Arrival,22,12.0
350,Milan,Arrival,22,-1.0
351,Manchester,Arrival,22,7.0
352,Malaga,Arrival,23,-11.0
353,Vigo,Arrival,23,3.0
354,Paris,Arrival,23,26.0
355,Marseille,Arrival,23,5.0
356,Paris,Arrival,23,-5.0
357,Brussels,Arrival,23,9.0
358,Venice,Arrival,23,24.0
359,Marrakech,Arrival,23,-1.0
360,Lisbon,Arrival,23,18.0
361,Prague,Arrival,23,-7.0
362,Amsterdam,Arrival,23,35.0
363,La Coruna,Arrival,23,-8.0
364,London,Arrival,23,11.0
365,Naples,Arrival,23,26.0
366,Florence,Departure,6,-2.0
367,Tangier,Departure,6,-1.0
368,Las Palmas,Departure,6,3.0
369,Alicante,Departure,6,-12.0
370,Brussels,Departure,6,-6.0
371,Asturias,Departure,6,-3.0
372,Sevilla,Departure,6,4.0
373,Malaga,Departure,7,0.0
374,Bilbao,Departure,7,-4.0
375,Madrid,Departure,7,1.0
376,Paris,Departure,7,33.0
377,Palma Mallorca,Departure,7,-4.0
378,Venice,Departure,7,0.0
379,Amsterdam,Departure,7,70.0
380,Ibiza,Departure,7,4.0
381,Lisbon,Departure,7,5.0
382,Athens,Departure,7,-6.0
383,Rome,Departure,7,1.0
384,London,Departure,7,57.0
385,Menorca,Departure,7,-10.0
386,Milan,Departure,7,-13.0
387,Granada,Departure,7,-1.0
388,Madrid,Departure,7,4.0
389,Prague,Departure,7,22.0
390,Vienna,Departure,7,-8.0
391,Paris,Departure,7,2.0
392,Tenerife,Departure,8,-5.0
393,Paris,Departure,8,-11.0
394,Madrid,Departure,8,39.0
395,Palma Mallorca,Departure,8,-2.0
396,Alicante,Departure,8,-3.0
397,Bilbao,Departure,8,-4.0
398,Malaga,Departure,9,2.0
399,Menorca,Departure,9,-5.0
400,Sevilla,Departure,9,1.0
401,Ibiza,Departure,9,-1.0
402,Santiago De Compostela,Departure,9,-4.0
403,Paris,Departure,9,-13.0
404,Palma Mallorca,Departure,9,-4.0
405,La Coruna,Departure,9,1.0
406,Madrid,Departure,9,68.0
407,Milan,Departure,10,-8.0
408,Amsterdam,Departure,10,11.0
409,Lanzarote,Departure,10,0.0
410,Sevilla,Departure,10,3.0
411,Granada,Departure,10,15.0
412,Olbia,Departure,10,-3.0
413,Bilbao,Departure,11,-2.0
414,Sevilla,Departure,11,11.0
415,Berlin,Departure,11,3.0
416,Rome,Departure,11,17.0
417,Palma Mallorca,Departure,11,0.0
418,Malaga,Departure,12,10.0
419,Las Palmas,Departure,12,16.0
420,Milan,Departure,12,0.0
421,Lisbon,Departure,12,-4.0
422,Asturias,Departure,12,-2.0
423,London,Departure,12,-5.0
424,Dusseldorf,Departure,12,14.0
425,Ibiza,Departure,12,-1.0
426,London,Departure,13,-11.0
427,Madrid,Departure,14,77.0
428,Paris,Departure,14,30.0
429,Alicante,Departure,14,1.0
430,Porto,Departure,14,4.0
431,Palma Mallorca,Departure,14,-10.0
432,Bologna,Departure,14,-5.0
433,Malaga,Departure,15,-3.0
434,Amsterdam,Departure,15,-5.0
435,La Coruna,Departure,15,2.0
436,Bilbao,Departure,15,-8.0
437,Marseille,Departure,15,-4.0
438,Vienna,Departure,15,7.0
439,Santander,Departure,16,0.0
440,Palma Mallorca,Departure,16,-12.0
441,Madrid,Departure,16,0.0
442,Banjul,Departure,16,-5.0
443,Santiago De Compostela,Departure,16,-5.0
444,Sevilla,Departure,16,5.0
445,San Sebastian,Departure,16,-2.0
446,Ibiza,Departure,16,-1.0
447,Menorca,Departure,17,-5.0
448,Granada,Departure,17,-6.0
449,Madrid,Departure,17,0.0
450,Palma Mallorca,Departure,17,-3.0
451,London,Departure,17,11.0
452,Bordeaux,Departure,17,-11.0
453,Manchester,Departure,17,1.0
454,Paris,Departure,17,11.0
455,Bilbao,Departure,17,-3.0
456,Munich,Departure,17,-8.0
457,Tenerife,Departure,17,5.0
458,Florence,Departure,17,-5.0
459,Sevilla,Departure,18,-4.0
460,Alicante,Departure,18,-3.0
461,Palma Mallorca,Departure,18,-4.0
462,Rome,Departure,18,3.0
463,Amsterdam,Departure,18,-3.0
464,Brussels,Departure,18,14.0
465,Milan,Departure,18,-1.0
466,London,Departure,18,-1.0
467,Madrid,Departure,19,23.0
468,Lisbon,Departure,19,-7.0
469,Venice,Departure,19,-1.0
470,Vigo,Departure,19,4.0
471,Alicante,Departure,19,-3.0
472,London,Departure,19,1.0
473,Menorca,Departure,19,-7.0
474,La Coruna,Departure,20,-3.0
475,Paris,Departure,20,1.0
476,Palma Mallorca,Departure,20,-7.0
477,Granada,Departure,20,3.0
478,Ibiza,Departure,20,-7.0
479,Las Palmas,Departure,20,12.0
480,Santiago De Compostela,Departure,21,-11.0
481,Algiers,Departure,21,-7.0
482,Malaga,Departure,21,4.0
483,Bilbao,Departure,21,-11.0
484,Madrid,Departure,21,2.0
485,Asturias,Departure,22,-9.0
486,Tel Aviv-Yafo,Departure,23,13.0
487,Granada,Arrival,0,-6.0
488,Milan,Arrival,0,2.0
489,Vienna,Arrival,0,13.0
490,Nantes,Arrival,0,18.0
491,Las Palmas,Arrival,0,-8.0
492,Lisbon,Arrival,0,-8.0
493,Tenerife,Arrival,1,7.0
494,Algiers,Arrival,1,-20.0
495,London,Arrival,1,-18.0
496,Madrid,Arrival,7,0.0
497,Palma Mallorca,Arrival,7,-13.0
498,Alicante,Arrival,8,-14.0
499,Bilbao,Arrival,8,-11.0
500,Asturias,Arrival,8,-6.0
501,Malaga,Arrival,8,3.0
502,Sevilla,Arrival,8,1.0
503,Palma Mallorca,Arrival,8,-12.0
504,Santiago De Compostela,Arrival,8,-4.0
505,La Coruna,Arrival,8,-9.0
506,Paris,Arrival,8,-24.0
507,Madrid,Arrival,9,59.0
508,Amsterdam,Arrival,9,-12.0
509,Palma Mallorca,Arrival,9,-22.0
510,Sevilla,Arrival,9,-1.0
511,Algiers,Arrival,9,2.0
512,Ibiza,Arrival,9,8.0
513,Menorca,Arrival,9,-10.0
514,Alicante,Arrival,9,-10.0
515,Bilbao,Arrival,10,-12.0
516,Tel Aviv-Yafo,Arrival,10,-9.0
517,Madrid,Arrival,10,105.0
518,Asturias,Arrival,10,4.0
519,Florence,Arrival,10,-7.0
520,Sevilla,Arrival,10,20.0
521,Madrid,Arrival,11,75.0
522,Malaga,Arrival,11,8.0
523,Granada,Arrival,11,-7.0
524,Tangier,Arrival,11,-11.0
525,Paris,Arrival,11,93.0
526,Las Palmas,Arrival,11,-4.0
527,Milan,Arrival,11,24.0
528,Menorca,Arrival,11,-17.0
529,Rome,Arrival,11,19.0
530,Venice,Arrival,11,-2.0
531,Brussels,Arrival,11,70.0
532,Ibiza,Arrival,11,-11.0
533,Lisbon,Arrival,11,20.0
534,Paris,Arrival,12,4.0
535,Amsterdam,Arrival,12,74.0
536,London,Arrival,12,44.0
537,Paris,Arrival,12,26.0
538,Madrid,Arrival,13,17.0
539,Vienna,Arrival,13,-9.0
540,Prague,Arrival,13,13.0
541,Alicante,Arrival,13,1.0
542,Granada,Arrival,13,0.0
543,Las Palmas,Arrival,14,8.0
544,Milan,Arrival,14,18.0
545,Athens,Arrival,14,6.0
546,Palma Mallorca,Arrival,14,5.0
547,Olbia,Arrival,14,-10.0
548,Bilbao,Arrival,14,-9.0
549,Vienna,Arrival,15,-20.0
550,Ibiza,Arrival,15,-2.0
551,Sevilla,Arrival,15,45.0
552,Tenerife,Arrival,15,-3.0
553,Santiago De Compostela,Arrival,15,-7.0
554,Malaga,Arrival,16,34.0
555,Milan,Arrival,16,8.0
556,Madrid,Arrival,16,1.0
557,Rome,Arrival,16,17.0
558,Palma Mallorca,Arrival,16,-17.0
559,Bilbao,Arrival,16,-10.0
560,Lisbon,Arrival,16,-6.0
561,Lanzarote,Arrival,17,-2.0
562,Sevilla,Arrival,17,-4.0
563,Berlin,Arrival,17,8.0
564,Dusseldorf,Arrival,17,22.0
565,London,Arrival,17,-3.0
566,Madrid,Arrival,18,11.0
567,Paris,Arrival,18,51.0
568,Porto,Arrival,18,-7.0
569,Palma Mallorca,Arrival,18,-20.0
570,Bologna,Arrival,18,45.0
571,Alicante,Arrival,18,-4.0
572,Bilbao,Arrival,18,-22.0
573,London,Arrival,19,-24.0
574,Santander,Arrival,19,-8.0
575,Malaga,Arrival,19,-6.0
576,Menorca,Arrival,19,-12.0
577,Ibiza,Arrival,19,-13.0
578,Palma Mallorca,Arrival,19,-26.0
579,San Sebastian,Arrival,19,3.0
580,Madrid,Arrival,19,-5.0
581,Paris,Arrival,19,-9.0
582,La Coruna,Arrival,19,-15.0
583,Las Palmas,Arrival,20,1.0
584,Sevilla,Arrival,20,-1.0
585,Bordeaux,Arrival,20,-25.0
586,Santiago De Compostela,Arrival,20,-19.0
587,Granada,Arrival,20,-15.0
588,Palma Mallorca,Arrival,20,-24.0
589,Madrid,Arrival,20,-2.0
590,Malaga,Arrival,21,5.0
591,Bilbao,Arrival,21,-20.0
592,Alicante,Arrival,21,-10.0
593,Amsterdam,Arrival,21,-14.0
594,Asturias,Arrival,21,-10.0
595,Paris,Arrival,21,-1.0
596,Florence,Arrival,21,-2.0
597,Menorca,Arrival,22,-19.0
598,London,Arrival,22,21.0
599,Munich,Arrival,22,-3.0
600,Palma Mallorca,Arrival,22,-32.0
601,Rome,Arrival,22,3.0
602,Milan,Arrival,22,-3.0
603,Manchester,Arrival,22,27.0
604,Ibiza,Arrival,23,-20.0
605,Vigo,Arrival,23,-6.0
606,Marseille,Arrival,23,18.0
607,Brussels,Arrival,23,8.0
608,Venice,Arrival,23,50.0
609,Lisbon,Arrival,23,-26.0
610,Amsterdam,Arrival,23,-6.0
611,La Coruna,Arrival,23,-14.0
612,London,Arrival,23,-14.0
613,Florence,Departure,6,-3.0
614,Alicante,Departure,6,-5.0
615,Brussels,Departure,6,-4.0
616,Sevilla,Departure,6,-10.0
617,Malaga,Departure,7,-8.0
618,Bilbao,Departure,7,-7.0
619,Madrid,Departure,7,-4.0
620,Paris,Departure,7,-1.0
621,Palma Mallorca,Departure,7,-12.0
622,Amsterdam,Departure,7,-4.0
623,Ibiza,Departure,7,0.0
624,Lisbon,Departure,7,-8.0
625,Athens,Departure,7,1.0
626,London,Departure,7,-3.0
627,Menorca,Departure,7,-8.0
628,Milan,Departure,7,-1.0
629,Granada,Departure,7,-7.0
630,Prague,Departure,7,-6.0
631,Vienna,Departure,7,-1.0
632,Tenerife,Departure,8,2.0
633,Madrid,Departure,8,27.0
634,Palma Mallorca,Departure,8,-6.0
635,Alicante,Departure,8,0.0
636,Bilbao,Departure,8,5.0
637,Malaga,Departure,9,-6.0
638,Menorca,Departure,9,-5.0
639,Sevilla,Departure,9,7.0
640,Ibiza,Departure,9,0.0
641,Santiago De Compostela,Departure,9,-5.0
642,Paris,Departure,9,41.0
643,Palma Mallorca,Departure,9,0.0
644,La Coruna,Departure,9,0.0
645,Madrid,Departure,9,90.0
646,Milan,Departure,10,3.0
647,Amsterdam,Departure,10,6.0
648,Lanzarote,Departure,10,5.0
649,Sevilla,Departure,10,5.0
650,Hanover,Departure,10,-8.0
651,Granada,Departure,10,5.0
652,Oran,Departure,11,-10.0
653,Bilbao,Departure,11,0.0
654,Sevilla,Departure,11,-1.0
655,Birmingham,Departure,11,12.0
656,Rome,Departure,11,2.0
657,Palma Mallorca,Departure,11,-3.0
658,Malaga,Departure,12,12.0
659,Las Palmas,Departure,12,-2.0
660,Milan,Departure,12,-6.0
661,Lisbon,Departure,12,-8.0
662,Asturias,Departure,12,-4.0
663,Catania,Departure,12,22.0
664,Budapest,Departure,12,-2.0
665,London,Departure,12,-2.0
666,Ibiza,Departure,12,-5.0
667,Copenhagen,Departure,13,15.0
668,Madrid,Departure,14,17.0
669,Paris,Departure,14,0.0
670,Alicante,Departure,14,-3.0
671,Porto,Departure,14,9.0
672,Palma Mallorca,Departure,14,-2.0
673,Turin,Departure,14,4.0
674,Bologna,Departure,14,0.0
